Image Number,Scientific Name,Common Name,Subject Display Name,Host Name,Host Scientific Name,Descriptor Name,Photographer,Organization,Orientation,Citation,Max Resolution,Image URL,Location (State),Location,NormCrop,NormDisease,StateLat,StateLon,AezCode
5581650,Comovirus Bean Pod Mottle Virus,Bean Pod Mottle Virus (BPMV),Bean Pod Mottle Virus (BPMV) (Comovirus Bean Pod Mottle Virus),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581650.jpg,us_1,Alabama,Soybean,Bean Pod Mottle Virus,32.806671,-86.791130,STM
5591031,Macrophomina phaseolina,charcoal rot,charcoal rot (Macrophomina phaseolina (Tassi) Goidanich),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5591031.jpg,us_1,Alabama,Soybean,Charcoal Rot,32.806671,-86.791130,STM
5440185,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5440185.jpg,us_1,Alabama,Soybean,Soybean Rust,32.806671,-86.791130,STM
5440186,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5440186.jpg,us_1,Alabama,Soybean,Soybean Rust,32.806671,-86.791130,STM
5440187,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5440187.jpg,us_1,Alabama,Soybean,Soybean Rust,32.806671,-86.791130,STM
5440188,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5440188.jpg,us_1,Alabama,Soybean,Soybean Rust,32.806671,-86.791130,STM
5440189,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5440189.jpg,us_1,Alabama,Soybean,Soybean Rust,32.806671,-86.791130,STM
5625712,Athelia rolfsii,southern blight,southern blight (Athelia rolfsii (Curzi) C.C. Tu & Kimbr.),soybean,Glycine max,Symptoms,Travis Faske,,landscape,"Travis Faske, University of Arkansas - Division of Agriculture, Bugwood.org ",4,https://bugwoodcloud.org/images/1536x1024/5625712.jpg,us_5,Arkansas,Soybean,Southern Blight,34.969704,-92.373123,STM
5625713,Athelia rolfsii,southern blight,southern blight (Athelia rolfsii (Curzi) C.C. Tu & Kimbr.),soybean,Glycine max,Symptoms,Travis Faske,,landscape,"Travis Faske, University of Arkansas - Division of Agriculture, Bugwood.org ",4,https://bugwoodcloud.org/images/1536x1024/5625713.jpg,us_5,Arkansas,Soybean,Southern Blight,34.969704,-92.373123,STM
5625720,Puccinia polysora,Southern corn rust,Southern corn rust (Puccinia polysora Underw.),corn,Zea mays,Sign,Travis Faske,,landscape,"Travis Faske, University of Arkansas - Division of Agriculture, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5625720.jpg,us_5,Arkansas,Corn,Southern Corn Rust,34.969704,-92.373123,STM
5625721,Puccinia polysora,Southern corn rust,Southern corn rust (Puccinia polysora Underw.),corn,Zea mays,Sign,Travis Faske,,landscape,"Travis Faske, University of Arkansas - Division of Agriculture, Bugwood.org ",4,https://bugwoodcloud.org/images/1536x1024/5625721.jpg,us_5,Arkansas,Corn,Southern Corn Rust,34.969704,-92.373123,STM
5625722,Puccinia polysora,Southern corn rust,Southern corn rust (Puccinia polysora Underw.),corn,Zea mays,Sign,Travis Faske,,potrait,"Travis Faske, University of Arkansas - Division of Agriculture, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5625722.jpg,us_5,Arkansas,Corn,Southern Corn Rust,34.969704,-92.373123,STM
5581651,Athelia rolfsii,southern blight,southern blight (Athelia rolfsii (Curzi) C.C. Tu & Kimbr.),soybean,Glycine max,Sign,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581651.jpg,us_1,Alabama,Soybean,Southern Blight,32.806671,-86.791130,STM
5581657,Athelia rolfsii,southern blight,southern blight (Athelia rolfsii (Curzi) C.C. Tu & Kimbr.),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5581657.jpg,us_1,Alabama,Soybean,Southern Blight,32.806671,-86.791130,STM
5581658,Athelia rolfsii,southern blight,southern blight (Athelia rolfsii (Curzi) C.C. Tu & Kimbr.),soybean,Glycine max,Sign,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5581658.jpg,us_1,Alabama,Soybean,Southern Blight,32.806671,-86.791130,STM
5581659,Athelia rolfsii,southern blight,southern blight (Athelia rolfsii (Curzi) C.C. Tu & Kimbr.),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5581659.jpg,us_1,Alabama,Soybean,Southern Blight,32.806671,-86.791130,STM
5581645,Cercospora kikuchii,Cercospora blight,Cercospora blight (Cercospora kikuchii (Mastsumoto & Tomoyasu) M.W. Gardner),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581645.jpg,us_1,Alabama,Soybean,Cercospora Blight,32.806671,-86.791130,STM
5581646,Cercospora kikuchii,Cercospora blight,Cercospora blight (Cercospora kikuchii (Mastsumoto & Tomoyasu) M.W. Gardner),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581646.jpg,us_1,Alabama,Soybean,Cercospora Blight,32.806671,-86.791130,STM
5582257,Cercospora sojina,frogeye leaf spot,frogeye leaf spot (Cercospora sojina K. Hara),soybean,Glycine max,Sign,Brian Ward,,landscape,"Brian Ward, Louisiana State University AgCenter, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5582257.jpg,us_1,Alabama,Soybean,Frogeye Leaf Spot,32.806671,-86.791130,STM
5582258,Cercospora sojina,frogeye leaf spot,frogeye leaf spot (Cercospora sojina K. Hara),soybean,Glycine max,Sign,Brian Ward,,landscape,"Brian Ward, Louisiana State University AgCenter, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5582258.jpg,us_1,Alabama,Soybean,Frogeye Leaf Spot,32.806671,-86.791130,STM
5582259,Cercospora sojina,frogeye leaf spot,frogeye leaf spot (Cercospora sojina K. Hara),soybean,Glycine max,Sign,Brian Ward,,landscape,"Brian Ward, Louisiana State University AgCenter, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5582259.jpg,us_1,Alabama,Soybean,Frogeye Leaf Spot,32.806671,-86.791130,STM
5581647,Comovirus Bean Pod Mottle Virus,Bean Pod Mottle Virus (BPMV),Bean Pod Mottle Virus (BPMV) (Comovirus Bean Pod Mottle Virus),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581647.jpg,us_1,Alabama,Soybean,Bean Pod Mottle Virus,32.806671,-86.791130,STM
5581648,Comovirus Bean Pod Mottle Virus,Bean Pod Mottle Virus (BPMV),Bean Pod Mottle Virus (BPMV) (Comovirus Bean Pod Mottle Virus),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581648.jpg,us_1,Alabama,Soybean,Bean Pod Mottle Virus,32.806671,-86.791130,STM
5581649,Comovirus Bean Pod Mottle Virus,Bean Pod Mottle Virus (BPMV),Bean Pod Mottle Virus (BPMV) (Comovirus Bean Pod Mottle Virus),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581649.jpg,us_1,Alabama,Soybean,Bean Pod Mottle Virus,32.806671,-86.791130,STM
5581650,Comovirus Bean Pod Mottle Virus,Bean Pod Mottle Virus (BPMV),Bean Pod Mottle Virus (BPMV) (Comovirus Bean Pod Mottle Virus),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581650.jpg,us_1,Alabama,Soybean,Bean Pod Mottle Virus,32.806671,-86.791130,STM
5591031,Macrophomina phaseolina,charcoal rot,charcoal rot (Macrophomina phaseolina (Tassi) Goidanich),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5591031.jpg,us_1,Alabama,Soybean,Charcoal Rot,32.806671,-86.791130,STM
5440185,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5440185.jpg,us_1,Alabama,Soybean,Soybean Rust,32.806671,-86.791130,STM
5440186,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5440186.jpg,us_1,Alabama,Soybean,Soybean Rust,32.806671,-86.791130,STM
5440187,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5440187.jpg,us_1,Alabama,Soybean,Soybean Rust,32.806671,-86.791130,STM
5440188,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5440188.jpg,us_1,Alabama,Soybean,Soybean Rust,32.806671,-86.791130,STM
5440189,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5440189.jpg,us_1,Alabama,Soybean,Soybean Rust,32.806671,-86.791130,STM
5625712,Athelia rolfsii,southern blight,southern blight (Athelia rolfsii (Curzi) C.C. Tu & Kimbr.),soybean,Glycine max,Symptoms,Travis Faske,,landscape,"Travis Faske, University of Arkansas - Division of Agriculture, Bugwood.org ",4,https://bugwoodcloud.org/images/1536x1024/5625712.jpg,us_5,Arkansas,Soybean,Southern Blight,34.969704,-92.373123,STM
5625713,Athelia rolfsii,southern blight,southern blight (Athelia rolfsii (Curzi) C.C. Tu & Kimbr.),soybean,Glycine max,Symptoms,Travis Faske,,landscape,"Travis Faske, University of Arkansas - Division of Agriculture, Bugwood.org ",4,https://bugwoodcloud.org/images/1536x1024/5625713.jpg,us_5,Arkansas,Soybean,Southern Blight,34.969704,-92.373123,STM
5625720,Puccinia polysora,Southern corn rust,Southern corn rust (Puccinia polysora Underw.),corn,Zea mays,Sign,Travis Faske,,landscape,"Travis Faske, University of Arkansas - Division of Agriculture, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5625720.jpg,us_5,Arkansas,Corn,Southern Corn Rust,34.969704,-92.373123,STM
5625721,Puccinia polysora,Southern corn rust,Southern corn rust (Puccinia polysora Underw.),corn,Zea mays,Sign,Travis Faske,,landscape,"Travis Faske, University of Arkansas - Division of Agriculture, Bugwood.org ",4,https://bugwoodcloud.org/images/1536x1024/5625721.jpg,us_5,Arkansas,Corn,Southern Corn Rust,34.969704,-92.373123,STM
5625722,Puccinia polysora,Southern corn rust,Southern corn rust (Puccinia polysora Underw.),corn,Zea mays,Sign,Travis Faske,,potrait,"Travis Faske, University of Arkansas - Division of Agriculture, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5625722.jpg,us_5,Arkansas,Corn,Southern Corn Rust,34.969704,-92.373123,STM
5476006,Ustilago maydis,corn smut,corn smut (Ustilago maydis (DC.) Corda),corn,Zea,Symptoms,Howard F. Schwartz,Colorado State University,potrait,"Howard F. Schwartz, Colorado State University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5476006.jpg,us_8,Colorado,Corn,Corn Smut,39.059811,-105.311104,TMP
5476007,Ustilago maydis,corn smut,corn smut (Ustilago maydis (DC.) Corda),corn,Zea,Symptoms,Howard F. Schwartz,Colorado State University,landscape,"Howard F. Schwartz, Colorado State University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5476007.jpg,us_8,Colorado,Corn,Corn Smut,39.059811,-105.311104,TMP
5476008,Ustilago maydis,corn smut,corn smut (Ustilago maydis (DC.) Corda),corn,Zea,Symptoms,Howard F. Schwartz,Colorado State University,landscape,"Howard F. Schwartz, Colorado State University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5476008.jpg,us_8,Colorado,Corn,Corn Smut,39.059811,-105.311104,TMP
5476009,Ustilago maydis,corn smut,corn smut (Ustilago maydis (DC.) Corda),corn,Zea,Symptoms,Howard F. Schwartz,Colorado State University,landscape,"Howard F. Schwartz, Colorado State University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5476009.jpg,us_8,Colorado,Corn,Corn Smut,39.059811,-105.311104,TMP
5476010,Ustilago maydis,corn smut,corn smut (Ustilago maydis (DC.) Corda),corn,Zea,Symptoms,Howard F. Schwartz,Colorado State University,landscape,"Howard F. Schwartz, Colorado State University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5476010.jpg,us_8,Colorado,Corn,Corn Smut,39.059811,-105.311104,TMP
5476011,Ustilago maydis,corn smut,corn smut (Ustilago maydis (DC.) Corda),corn,Zea,Symptoms,Howard F. Schwartz,Colorado State University,landscape,"Howard F. Schwartz, Colorado State University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5476011.jpg,us_8,Colorado,Corn,Corn Smut,39.059811,-105.311104,TMP
5476012,Ustilago maydis,corn smut,corn smut (Ustilago maydis (DC.) Corda),corn,Zea,Symptoms,Howard F. Schwartz,Colorado State University,potrait,"Howard F. Schwartz, Colorado State University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5476012.jpg,us_8,Colorado,Corn,Corn Smut,39.059811,-105.311104,TMP
5496048,Ustilago maydis,corn smut,corn smut (Ustilago maydis (DC.) Corda),corn,Zea mays,Product,Whitney Cranshaw,Colorado State University,landscape,"Whitney Cranshaw, Colorado State University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5496048.jpg,us_8,Colorado,Corn,Corn Smut,39.059811,-105.311104,TMP
5496049,Ustilago maydis,corn smut,corn smut (Ustilago maydis (DC.) Corda),corn,Zea mays,Product,Whitney Cranshaw,Colorado State University,landscape,"Whitney Cranshaw, Colorado State University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5496049.jpg,us_8,Colorado,Corn,Corn Smut,39.059811,-105.311104,TMP
5496051,Ustilago maydis,corn smut,corn smut (Ustilago maydis (DC.) Corda),corn,Zea mays,Product,Whitney Cranshaw,Colorado State University,landscape,"Whitney Cranshaw, Colorado State University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5496051.jpg,us_9,Connecticut,Corn,Corn Smut,41.597782,-72.755371,TMP
5501959,Ustilago maydis,corn smut,corn smut (Ustilago maydis (DC.) Corda),corn,Zea mays,Sign,Felix Francis,University of Delaware,landscape,"Felix Francis, University of Delaware, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5501959.jpg,us_10,Delaware,Corn,Corn Smut,39.318523,-75.507141,TMP
5501960,Ustilago maydis,corn smut,corn smut (Ustilago maydis (DC.) Corda),corn,Zea mays,Symptoms,Felix Francis,University of Delaware,landscape,"Felix Francis, University of Delaware, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5501960.jpg,us_10,Delaware,Corn,Corn Smut,39.318523,-75.507141,TMP
5501961,Ustilago maydis,corn smut,corn smut (Ustilago maydis (DC.) Corda),corn,Zea mays,Symptoms,Felix Francis,University of Delaware,landscape,"Felix Francis, University of Delaware, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5501961.jpg,us_10,Delaware,Corn,Corn Smut,39.318523,-75.507141,TMP
5501962,Ustilago maydis,corn smut,corn smut (Ustilago maydis (DC.) Corda),corn,Zea mays,Symptoms,Felix Francis,University of Delaware,landscape,"Felix Francis, University of Delaware, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5501962.jpg,us_10,Delaware,Corn,Corn Smut,39.318523,-75.507141,TMP
5501963,Ustilago maydis,corn smut,corn smut (Ustilago maydis (DC.) Corda),corn,Zea mays,Symptoms,Felix Francis,University of Delaware,landscape,"Felix Francis, University of Delaware, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5501963.jpg,us_10,Delaware,Corn,Corn Smut,39.318523,-75.507141,TMP
5501964,Ustilago maydis,corn smut,corn smut (Ustilago maydis (DC.) Corda),corn,Zea mays,Symptoms,Felix Francis,University of Delaware,landscape,"Felix Francis, University of Delaware, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5501964.jpg,us_10,Delaware,Corn,Corn Smut,39.318523,-75.507141,TMP
5202010,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Florida Division of Plant Industry ,Florida Department of Agriculture and Consumer Services,landscape,"Florida Division of Plant Industry , Florida Department of Agriculture and Consumer Services, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5202010.jpg,us_12,Florida,Soybean,Soybean Rust,27.766279,-81.686783,STM
5202011,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Florida Division of Plant Industry ,Florida Department of Agriculture and Consumer Services,landscape,"Florida Division of Plant Industry , Florida Department of Agriculture and Consumer Services, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5202011.jpg,us_12,Florida,Soybean,Soybean Rust,27.766279,-81.686783,STM
5202012,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Florida Division of Plant Industry ,Florida Department of Agriculture and Consumer Services,landscape,"Florida Division of Plant Industry , Florida Department of Agriculture and Consumer Services, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5202012.jpg,us_12,Florida,Soybean,Soybean Rust,27.766279,-81.686783,STM
5202013,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Florida Division of Plant Industry ,Florida Department of Agriculture and Consumer Services,landscape,"Florida Division of Plant Industry , Florida Department of Agriculture and Consumer Services, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5202013.jpg,us_12,Florida,Soybean,Soybean Rust,27.766279,-81.686783,STM
5202014,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Florida Division of Plant Industry ,Florida Department of Agriculture and Consumer Services,landscape,"Florida Division of Plant Industry , Florida Department of Agriculture and Consumer Services, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5202014.jpg,us_12,Florida,Soybean,Soybean Rust,27.766279,-81.686783,STM
5202017,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Florida Division of Plant Industry ,Florida Department of Agriculture and Consumer Services,potrait,"Florida Division of Plant Industry , Florida Department of Agriculture and Consumer Services, Bugwood.org ",4,https://bugwoodcloud.org/images/1536x1024/5202017.jpg,us_12,Florida,Soybean,Soybean Rust,27.766279,-81.686783,STM
5202018,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Florida Division of Plant Industry ,Florida Department of Agriculture and Consumer Services,landscape,"Florida Division of Plant Industry , Florida Department of Agriculture and Consumer Services, Bugwood.org ",4,https://bugwoodcloud.org/images/1536x1024/5202018.jpg,us_12,Florida,Soybean,Soybean Rust,27.766279,-81.686783,STM
5202019,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Florida Division of Plant Industry ,Florida Department of Agriculture and Consumer Services,landscape,"Florida Division of Plant Industry , Florida Department of Agriculture and Consumer Services, Bugwood.org ",4,https://bugwoodcloud.org/images/1536x1024/5202019.jpg,us_12,Florida,Soybean,Soybean Rust,27.766279,-81.686783,STM
5202022,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Florida Division of Plant Industry ,Florida Department of Agriculture and Consumer Services,landscape,"Florida Division of Plant Industry , Florida Department of Agriculture and Consumer Services, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5202022.jpg,us_12,Florida,Soybean,Soybean Rust,27.766279,-81.686783,STM
5605448,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Gerald Holmes,California Polytechnic State University at San Luis Obispo,landscape,"Gerald Holmes, Strawberry Center, Cal Poly San Luis Obispo, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5605448.jpg,us_12,Florida,Soybean,Soybean Rust,27.766279,-81.686783,STM
