Image Number,Scientific Name,Common Name,Subject Display Name,Host Name,Host Scientific Name,Descriptor Name,Photographer,Organization,Orientation,Citation,Max Resolution,Image URL,Location (State),Location
1568051,Cucumovirus Cucumber mosaic virus,cucumber mosaic virus (CMV),cucumber mosaic virus (CMV) (Cucumovirus Cucumber mosaic virus),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568051.jpg,us_1,Alabama
1568052,Cucumovirus Cucumber mosaic virus,cucumber mosaic virus (CMV),cucumber mosaic virus (CMV) (Cucumovirus Cucumber mosaic virus),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568052.jpg,us_1,Alabama
1568053,Cucumovirus Cucumber mosaic virus,cucumber mosaic virus (CMV),cucumber mosaic virus (CMV) (Cucumovirus Cucumber mosaic virus),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568053.jpg,us_1,Alabama
1568061,Cucumovirus Cucumber mosaic virus,cucumber mosaic virus (CMV),cucumber mosaic virus (CMV) (Cucumovirus Cucumber mosaic virus),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568061.jpg,us_1,Alabama
1568017,Fulvia fulva,Tomato Leaf Mould,Tomato Leaf Mould (Fulvia fulva (Cooke) Cif.),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568017.jpg,us_1,Alabama
1568004,Fusarium oxysporum f.sp. lycopersici,Fusarium wilt,Fusarium wilt (Fusarium oxysporum f.sp. lycopersici (Sacc.) W.C. Snyder & H.N. Hans.),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568004.jpg,us_1,Alabama
5581652,Grovesinia pyramidalis,zonate leaf spot,"zonate leaf spot (Grovesinia pyramidalis M.N. Cline, J.L. Crane & S.D. Cline)",garden tomato,Solanum lycopersicum,Sign,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",4,https://bugwoodcloud.org/images/1536x1024/5581652.jpg,us_1,Alabama
5581653,Grovesinia pyramidalis,zonate leaf spot,"zonate leaf spot (Grovesinia pyramidalis M.N. Cline, J.L. Crane & S.D. Cline)",garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581653.jpg,us_1,Alabama
5581654,Grovesinia pyramidalis,zonate leaf spot,"zonate leaf spot (Grovesinia pyramidalis M.N. Cline, J.L. Crane & S.D. Cline)",garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",4,https://bugwoodcloud.org/images/1536x1024/5581654.jpg,us_1,Alabama
5581655,Grovesinia pyramidalis,zonate leaf spot,"zonate leaf spot (Grovesinia pyramidalis M.N. Cline, J.L. Crane & S.D. Cline)",garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",4,https://bugwoodcloud.org/images/1536x1024/5581655.jpg,us_1,Alabama
5591031,Macrophomina phaseolina,charcoal rot,charcoal rot (Macrophomina phaseolina (Tassi) Goidanich),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5591031.jpg,us_1,Alabama
5440185,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5440185.jpg,us_1,Alabama
5440186,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5440186.jpg,us_1,Alabama
5440187,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5440187.jpg,us_1,Alabama
5440188,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5440188.jpg,us_1,Alabama
5440189,Phakopsora pachyrhizi,soybean rust,soybean rust (Phakopsora pachyrhizi Syd. & P. Syd.),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5440189.jpg,us_1,Alabama
1568021,Phytophthora,Phytophthora root and crown rots,Phytophthora root and crown rots (Genus Phytophthora De Bary),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568021.jpg,us_1,Alabama
1568022,Phytophthora infestans,late blight,late blight (Phytophthora infestans (Mont.) de Bary),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568022.jpg,us_1,Alabama
1568023,Phytophthora infestans,late blight,late blight (Phytophthora infestans (Mont.) de Bary),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568023.jpg,us_1,Alabama
1568024,Phytophthora infestans,late blight,late blight (Phytophthora infestans (Mont.) de Bary),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568024.jpg,us_1,Alabama
1568026,Phytophthora infestans,late blight,late blight (Phytophthora infestans (Mont.) de Bary),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568026.jpg,us_1,Alabama
1568027,Phytophthora infestans,late blight,late blight (Phytophthora infestans (Mont.) de Bary),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568027.jpg,us_1,Alabama
1568028,Phytophthora infestans,late blight,late blight (Phytophthora infestans (Mont.) de Bary),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568028.jpg,us_1,Alabama
1568029,Phytophthora infestans,late blight,late blight (Phytophthora infestans (Mont.) de Bary),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568029.jpg,us_1,Alabama
1568030,Phytophthora infestans,late blight,late blight (Phytophthora infestans (Mont.) de Bary),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568030.jpg,us_1,Alabama
1568031,Phytophthora infestans,late blight,late blight (Phytophthora infestans (Mont.) de Bary),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568031.jpg,us_1,Alabama
1568032,Phytophthora infestans,late blight,late blight (Phytophthora infestans (Mont.) de Bary),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568032.jpg,us_1,Alabama
1568033,Phytophthora infestans,late blight,late blight (Phytophthora infestans (Mont.) de Bary),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568033.jpg,us_1,Alabama
1568034,Phytophthora infestans,late blight,late blight (Phytophthora infestans (Mont.) de Bary),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568034.jpg,us_1,Alabama
1568035,Phytophthora infestans,late blight,late blight (Phytophthora infestans (Mont.) de Bary),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568035.jpg,us_1,Alabama
1568019,Phytophthora nicotianae,Phytophthora blight,Phytophthora blight (Phytophthora nicotianae Breda de Haan),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568019.jpg,us_1,Alabama
1568020,Phytophthora nicotianae,Phytophthora blight,Phytophthora blight (Phytophthora nicotianae Breda de Haan),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568020.jpg,us_1,Alabama
1568046,Pseudomonas syringae pv. tomato,bacterial speck of tomato,"bacterial speck of tomato (Pseudomonas syringae pv. tomato (Okabe 1933) Young, Dye & Wilkie 1978)",garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568046.jpg,us_1,Alabama
1568041,Ralstonia solanacearum (except Race 3 Biovar 2),Southern bacterial wilt,Southern bacterial wilt (Ralstonia solanacearum (except Race 3 Biovar 2) (Smith 1896) Yabuuchi et al. 1996),garden tomato,Solanum lycopersicum,Symptoms,Jackie Mullen,Auburn University,landscape,"Jackie Mullen, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568041.jpg,us_1,Alabama
1568012,Tospovirus Tomato spotted wilt virus,tomato spotted wilt virus (TSWV),tomato spotted wilt virus (TSWV) (Tospovirus Tomato spotted wilt virus),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568012.jpg,us_1,Alabama
1568013,Tospovirus Tomato spotted wilt virus,tomato spotted wilt virus (TSWV),tomato spotted wilt virus (TSWV) (Tospovirus Tomato spotted wilt virus),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568013.jpg,us_1,Alabama
1568014,Tospovirus Tomato spotted wilt virus,tomato spotted wilt virus (TSWV),tomato spotted wilt virus (TSWV) (Tospovirus Tomato spotted wilt virus),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568014.jpg,us_1,Alabama
1568016,Tospovirus Tomato spotted wilt virus,tomato spotted wilt virus (TSWV),tomato spotted wilt virus (TSWV) (Tospovirus Tomato spotted wilt virus),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568016.jpg,us_1,Alabama
1568043,Xanthomonas vesicatoria,bacterial spot,bacterial spot (Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568043.jpg,us_1,Alabama
1568044,Xanthomonas vesicatoria,bacterial spot,bacterial spot (Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568044.jpg,us_1,Alabama
1568045,Xanthomonas vesicatoria,bacterial spot,bacterial spot (Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568045.jpg,us_1,Alabama
5581660,Xylaria arbuscula,taproot decline on soybean,taproot decline on soybean (Xylaria arbuscula),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581660.jpg,us_1,Alabama
5581661,Xylaria arbuscula,taproot decline on soybean,taproot decline on soybean (Xylaria arbuscula),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581661.jpg,us_1,Alabama
5581662,Xylaria arbuscula,taproot decline on soybean,taproot decline on soybean (Xylaria arbuscula),soybean,Glycine max,Sign,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581662.jpg,us_1,Alabama
5581663,Xylaria arbuscula,taproot decline on soybean,taproot decline on soybean (Xylaria arbuscula),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581663.jpg,us_1,Alabama
5581664,Xylaria arbuscula,taproot decline on soybean,taproot decline on soybean (Xylaria arbuscula),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581664.jpg,us_1,Alabama
5581665,Xylaria arbuscula,taproot decline on soybean,taproot decline on soybean (Xylaria arbuscula),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581665.jpg,us_1,Alabama
5581666,Xylaria arbuscula,taproot decline on soybean,taproot decline on soybean (Xylaria arbuscula),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581666.jpg,us_1,Alabama
5625712,Athelia rolfsii,southern blight,southern blight (Athelia rolfsii (Curzi) C.C. Tu & Kimbr.),soybean,Glycine max,Symptoms,Travis Faske,,landscape,"Travis Faske, University of Arkansas - Division of Agriculture, Bugwood.org ",4,https://bugwoodcloud.org/images/1536x1024/5625712.jpg,us_5,Arkansas
5625713,Athelia rolfsii,southern blight,southern blight (Athelia rolfsii (Curzi) C.C. Tu & Kimbr.),soybean,Glycine max,Symptoms,Travis Faske,,landscape,"Travis Faske, University of Arkansas - Division of Agriculture, Bugwood.org ",4,https://bugwoodcloud.org/images/1536x1024/5625713.jpg,us_5,Arkansas
5626328,Pseudomonas syringae pv. tabaci,wildfire of tobacco,wildfire of tobacco (Pseudomonas syringae pv. tabaci (Wolf & Foster 1917) Young et al. 1978),soybean,Glycine max,Symptoms,Travis Faske,,landscape,"Travis Faske, University of Arkansas - Division of Agriculture, Bugwood.org ",4,https://bugwoodcloud.org/images/1536x1024/5626328.jpg,us_5,Arkansas
5626329,Pseudomonas syringae pv. tabaci,wildfire of tobacco,wildfire of tobacco (Pseudomonas syringae pv. tabaci (Wolf & Foster 1917) Young et al. 1978),soybean,Glycine max,Symptoms,Travis Faske,,landscape,"Travis Faske, University of Arkansas - Division of Agriculture, Bugwood.org ",4,https://bugwoodcloud.org/images/1536x1024/5626329.jpg,us_5,Arkansas
1568038,Alternaria solani,early blight,early blight (Alternaria solani Sorauer),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568038.jpg,us_1,Alabama
1568115,Athelia rolfsii,southern blight,southern blight (Athelia rolfsii (Curzi) C.C. Tu & Kimbr.),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568115.jpg,us_1,Alabama
1568116,Athelia rolfsii,southern blight,southern blight (Athelia rolfsii (Curzi) C.C. Tu & Kimbr.),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568116.jpg,us_1,Alabama
1568117,Athelia rolfsii,southern blight,southern blight (Athelia rolfsii (Curzi) C.C. Tu & Kimbr.),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568117.jpg,us_1,Alabama
1568119,Athelia rolfsii,southern blight,southern blight (Athelia rolfsii (Curzi) C.C. Tu & Kimbr.),garden tomato,Solanum lycopersicum,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/1568119.jpg,us_1,Alabama
5581640,Athelia rolfsii,southern blight,southern blight (Athelia rolfsii (Curzi) C.C. Tu & Kimbr.),garden tomato,Solanum lycopersicum,Sign,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581640.jpg,us_1,Alabama
5581641,Athelia rolfsii,southern blight,southern blight (Athelia rolfsii (Curzi) C.C. Tu & Kimbr.),garden tomato,Solanum lycopersicum,Sign,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581641.jpg,us_1,Alabama
